KEYLANGUAGE,RUSSIAN,ENGLISH,TURKISH,AZERBAIJANIAN,BELARUSIAN,HEBREW,ARMENIAN,GEORGIAN,ESTONIAN,FRENCH,KAZAKH,KYRGYZ,LITHUANIAN,LATVIAN,ROMANIAN,TAJICK,TURKMEN,UKRAINIAN,UZBEK,SPANISH,PORTUGUESE,ARABIAN,INDONESIAN,JAPANESE,ITALIAN,GERMAN,HINDI
WinOrLose_Title,Счет,Score,Hesap,,,,,,,,,,,,,,,,,,,,,,,,
WinOrLose_LoseDesc,Вы оба проиграли,You both lost,İkiniz de kaybettiniz,,,,,,,,,,,,,,,,,,,,,,,,
WinOrLose_Win1Desc,Победил игрок слева,The player on the left won,Soldaki oyuncu kazandı,,,,,,,,,,,,,,,,,,,,,,,,
WinOrLose_Win2Desc,Победил игрок справа,The player on the right won,Sağdaki oyuncu kazandı,,,,,,,,,,,,,,,,,,,,,,,,
WinOrLose_Time,Время:,Time:,Zaman:,,,,,,,,,,,,,,,,,,,,,,,,
WinOrLose_Score,Счет:,Score:,Hesap:,,,,,,,,,,,,,,,,,,,,,,,,
MainMenu_PreviewTitle,Планета Номер 47635\nЗадание:,Planet Number 47635\nTask:,Gezegen Numarası 47635\nGörev:,,,,,,,,,,,,,,,,,,,,,,,,
MainMenu_WritableText,Вы - два исследователя планеты 47635. Два часа назад были зафиксированы сильные подземные толчки* скорее всего планета взорвется. Немедленно собирайте образцы для исследования и уходите! Вместе.,You are two explorers of planet 47635. Two hours ago* strong tremors were recorded* most likely the planet will explode. Immediately collect samples for research and leave! Together.,Siz 47635 gezegeninin iki kaşifisiniz. İki saat önce şiddetli artçı sarsıntılar kaydedildi* büyük olasılıkla gezegen patlayacak. Araştırma için hemen numune toplayın ve gidin! Birlikte.,,,,,,,,,,,,,,,,,,,,,,,,
Game_FirstEcho,Сейсмическая активность планеты оказалась сильно выше ожидаемой.  Ваш корабль поврежден землетрясением. Не пытайтесь собрать образцы* с орбиты вам сбросили зонды с деталями* восстановите корабль и улетите с планеты.,The seismic activity of the planet turned out to be much higher than expected. Your ship is damaged by an earthquake. Do not try to collect samples* probes with details have been dropped from orbit* restore the ship and fly away from the planet.,Gezegenin sismik aktivitesinin beklenenden çok daha yüksek olduğu ortaya çıktı. Geminiz depremde hasar gördü. Numune toplamaya çalışmayın* yörüngeden size parçalar içeren sondalar attılar* gemiyi kurtarın ve gezegenden uçun.,,,,,,,,,,,,,,,,,,,,,,,,
Game_SecondEcho,Активность планеты усиливается* она вот-вот взорвется. С орбиты уже вылетел зонд с двумя системами жизнеобеспечения* после того* как они приземлятся - найдите обе системы и монтируйте их на корабль,The activity of the planet is increasing* it is about to explode. A probe with two life support systems has already taken off from orbit* after they land* find both systems and mount them on the ship,Gezegenin aktivitesi artıyor* patlamak üzere. İki yaşam destek sistemine sahip bir sonda* indikten sonra yörüngeden çoktan kalkmıştı - her iki sistemi de bulun ve gemiye monte edin,,,,,,,,,,,,,,,,,,,,,,,,
Game_Confrontation,Прием* один из зондов с системой жизнеобеспечения сгорел в атмосфере планеты* обоим вам не спастись. Времени критически мало* планета вот-вот взорвется. Только тот* кто первый установит систему жизнеобеспечения в корабль - сможет покинуть планету.,Over* one of the probes with a life support system burned up in the atmosphere of the planet* both of you cannot escape. Time is critically short* the planet is about to explode. Only the one who first installs the life support system in the ship will be able to leave the planet.,Resepsiyon* yaşam destek sistemine sahip sondalardan biri gezegenin atmosferinde yandı* ikiniz de kaçamazsınız. Zaman kritik derecede kısadır* gezegen patlamak üzeredir. Sadece gemiye yaşam destek sistemini ilk kuran kişi gezegeni terk edebilecektir.,,,,,,,,,,,,,,,,,,,,,,,,
